Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2",LED_D3.0mm,2,LED_Filled,
J1,usb-PCB,1,Conn_01x04_Pin,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,R_US,
